Child Course ID,Lab Group,Case Study 1 %,Lab Book Check 1,Lab Practical 1 %,Case Study 2,Exam 1 %,Exam 1 raw,Attendance Grade,Case Study Grade,Midterm Connect Grade,Midterm total grade,Case Study 3%,Exam 2 ,Exam 2 % Final,Lab Practical 2 (out of 39),Lab Practical 2 (%),Lab book check grade 2,Case Study 4%,Lab book check grade 3,Lab Practical 3 (points),Lab Practical 3 %,Attendance Record,Exam 3 %,Attendance Grade,Case Study Grade,Lab Book Grade,Lap Practical Grade,Exam Grade,OnLine Grade,FINAL GRADE,Days missed,8/30/16,9/1/16,9/6/16,9/8/16,9/13/16,9/15/16,9/20/16,9/29/16,Lab Practical 1 (missed/35),10/4/16,10/11/16,10/13/16,10/18/16,10/20/16,10/25/16,10/27/16,11/1/16,Case Study 3 raw,11/8/16,11/10/16,11/15/16,11/17/16,11/22/16,11/29/16,12/1/16,12/6/16,Absence Penalties
section 001,a,92.30769231,100,90,93.33333333,80,78,75,92.82051282,71.50707547,83.35170235,81.25,80,83,30.5,78.20512821,95,100,100,31.5,78.75,18,62,90,91.72275641,98.33333333,82.31837607,75,81.1,80.43455128,5,,,12,1,1,1,1,1,3.5,1,,,1,1,1,1,1,13,,1,1,1,1,1,1,1,2
section 001,b,76.92307692,100,75.71428571,86.66666667,66,64,100,81.79487179,77.95754717,73.6229361,81.25,72,75,39,100,100,100,100,36.5,91.25,22,68,100,86.2099359,100,88.98809524,69.66666667,90.3,81.67453297,1,1,1,10,1,1,1,1,1,8.5,1,1,1,1,1,1,1,1,13,1,1,1,1,1,,1,1,0
section 001,c,100,100,94.28571429,96.66666667,86,84,100,98.33333333,95.87735849,91.76255615,100,92,95,42,107.6923077,100,86.66666667,100,39.5,98.75,23,88,100,95.83333333,100,100.242674,89.66666667,95.4,94.92341575,0,1,1,13,1,1,1,1,1,2,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,0
section 001,d,92.30769231,100,94.28571429,100,64,62,100,96.15384615,67.4740566,78.5277019,81.25,68,71,41,105.1282051,100,93.33333333,100,32,80,22,68,100,91.72275641,100,93.13797314,67.66666667,67.1,79.20501832,1,1,1,12,1,1,1,1,1,2,1,1,1,1,1,,1,1,13,1,1,1,1,1,1,1,1,0
section 001,e,84.61538462,100,91.42857143,100,90,88,100,92.30769231,94.79245283,91.77491188,93.75,82,85,41,105.1282051,25,100,100,19,47.5,19,84,95,94.59134615,75,81.35225885,86.33333333,88.5,85.62188645,4,1,1,11,1,1,,1,1,3,1,,1,1,1,1,1,1,15,1,1,1,,1,,1,1,1
section 001,f,100,100,92.85714286,100,76,74,100,100,77.7995283,84.71278639,100,68,71,42,107.6923077,100,100,100,31,77.5,22,74,100,100,100,92.68315018,73.66666667,85.8,84.92210623,1,1,1,13,1,1,1,1,1,2.5,1,1,1,1,1,1,1,1,16,1,1,1,1,,1,1,1,0
section 001,a,100,100,98.57142857,100,82,80,100,100,93.85377358,91.40663747,100,74,77,39,100,95,106.6666667,100,36,90,23,78,100,101.6666667,98.33333333,96.19047619,79,99.5,90.36785714,0,1,1,13,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,0
section 001,b,100,100,100,100,84,82,100,100,98.26650943,93.33997642,87.5,80,83,39,100,100,106.6666667,100,36.5,91.25,23,72,100,98.54166667,100,97.08333333,79.66666667,100,90.7875,0,1,1,13,1,1,1,1,1,0,1,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,0
section 001,c,84.61538462,100,94.28571429,100,76,74,100,92.30769231,93.80660377,86.96989166,81.25,72,75,40.5,103.8461538,100,93.33333333,92,39.5,98.75,20,82,100,89.79967949,97.33333333,98.96062271,77.66666667,100,89.85431319,3,1,1,11,1,,1,1,1,2,1,0,1,1,1,1,1,1,13,1,1,1,1,,1,1,1,0
section 001,d,84.61538462,100,88.57142857,93.33333333,66,64,100,88.97435897,37.01650943,72.29899656,43.75,66,69,38,97.43589744,100,100,100,31.5,78.75,21,54,100,80.42467949,100,88.252442,63,88.3,78.00228022,2,1,1,11,1,1,1,1,1,4,1,1,1,1,1,1,1,1,7,1,1,1,0,1,1,,1,0
section 001,e,92.30769231,100,92.85714286,93.33333333,84,82,100,92.82051282,71.44339623,86.3850076,100,74,77,39.5,101.2820513,100,93.33333333,100,39.5,98.75,23,88,100,94.74358974,100,97.62973138,83,99.1,91.86229853,0,1,1,12,1,1,1,1,1,2.5,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,0
section 001,f,,100,91.42857143,93.33333333,66,64,100,93.33333333,91.0754717,81.69941599,87.5,78,81,39.5,101.2820513,100,86.66666667,92,34,85,22,52,100,89.16666667,97.33333333,92.57020757,66.33333333,51.4,75.87150183,1,1,1,,1,1,1,1,1,3,1,1,1,1,1,1,1,1,14,1,,1,1,1,1,1,1,0
section 001,a,84.61538462,100,74.28571429,100,50,48,100,92.30769231,76.03066038,67.30350016,0,52,55,39.5,101.2820513,95,93.33333333,95,29.5,73.75,20,62,100,69.48717949,96.66666667,83.10592186,55.66666667,93.8,73.25392857,3,1,1,11,1,1,1,1,1,9,1,1,1,1,1,1,1,,,1,1,1,1,,1,1,,0
section 001,b,84.61538462,100,77.14285714,86.66666667,56,54,100,85.64102564,93.12028302,72.67646736,62.5,54,57,33,84.61538462,100,100,100,30,75,20,58,100,83.44551282,100,78.91941392,57,90.4,73.07904762,3,1,1,11,1,1,1,1,1,8,1,1,1,1,,1,1,1,10,1,1,1,1,,1,,1,0
section 001,c,100,100,90,96.66666667,74,72,100,98.33333333,90.74764151,84.77881289,81.25,80,83,42.5,108.974359,100,93.33333333,100,37,92.5,22,76,100,92.8125,100,97.15811966,77.66666667,100,89.55384615,1,1,1,13,1,1,1,1,1,3.5,1,1,1,1,1,1,1,1,13,1,1,1,1,1,,1,1,0
section 001,d,100,100,84.28571429,100,88,86,100,100,50.41745283,82.57690364,87.5,82,85,40,102.5641026,100,106.6666667,100,39,97.5,20,74,100,98.54166667,100,94.78327228,82.33333333,100,91.09514652,3,,,13,1,1,1,1,1,5.5,1,1,1,1,1,1,1,1,14,1,1,,1,1,1,1,1,0
section 001,e,84.61538462,100,91.42857143,0,82,80,100,42.30769231,91.41981132,84.06901565,81.25,80,83,41,105.1282051,100,93.33333333,100,34.5,86.25,21,82,100,86.39957265,100,94.26892552,82.33333333,100,89.95404457,2,1,1,11,1,1,1,,,3,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,0
section 001,f,100,100,92.85714286,100,76,74,100,100,95.8490566,87.42021563,81.25,76,79,40.5,103.8461538,100,86.66666667,100,36,90,21,76,100,91.97916667,100,95.56776557,77,65.7,83.55069597,2,1,1,13,1,1,1,1,1,2.5,1,1,1,1,1,1,1,1,13,1,1,1,1,,1,1,,0
section 001,a,84.61538462,100,8.571428571,96.66666667,50,48,100,90.64102564,56.1509434,42.50249499,75,48,51,39.5,101.2820513,95,80,93,24,60,20,52,100,84.07051282,96,56.61782662,51,13.2,51.70952381,3,1,1,11,1,1,1,1,1,32,1,1,1,1,,,1,1,12,1,1,1,1,,1,1,1,0
section 001,b,92.30769231,100,95.71428571,100,74,72,100,96.15384615,95.91745283,87.2656399,81.25,78,81,41,105.1282051,100,106.6666667,100,36.5,91.25,23,88,100,95.05608974,100,97.36416361,81,97.8,90.80466117,0,1,1,12,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,0
section 001,c,92.30769231,100,98.57142857,100,86,84,100,96.15384615,81.79481132,90.89010082,81.25,80,83,42.5,108.974359,100,106.6666667,100,40,100,20,90,100,95.05608974,100,102.5152625,86.33333333,93,93.91785714,3,1,1,12,1,1,1,1,1,0.5,1,1,1,,1,1,1,1,13,1,,1,0,1,1,1,1,0
section 001,d,84.61538462,100,97.14285714,96.66666667,56,54,100,90.64102564,77.54716981,77.34050038,0,32,35,35.5,91.02564103,,93.33333333,98,31.5,78.75,18,50,90,68.65384615,99,88.97283272,47,83.9,70.01834249,5,1,1,11,1,1,1,1,1,1,1,1,,1,,1,1,,,1,1,1,1,1,,,1,2
section 001,e,84.61538462,100,61.42857143,93.33333333,58,56,100,88.97435897,89.30188679,67.98466031,75,60,63,37,94.87179487,90,86.66666667,100,34.5,86.25,22,64,100,84.90384615,96.66666667,80.8501221,61.66666667,95,76.32284799,1,1,1,11,1,1,1,1,1,13.5,1,1,1,1,1,1,1,1,12,1,1,1,1,,1,1,1,0
section 002,a,92.30769231,100,81.42857143,90,58,56,100,91.15384615,89.41981132,74.77670796,68.75,58,61,34.5,88.46153846,100,80,100,32.5,81.25,16,70,80,82.76442308,100,83.71336996,63,89.5,76.47156593,7,1,1,12,1,1,1,1,1,6.5,1,1,,1,,1,1,1,11,1,1,,0,,1,,,4
section 002,b,100,100,100,96.66666667,90,88,100,98.33333333,96.83726415,95.39225629,87.5,84,87,42,107.6923077,100,100,100,36.5,91.25,21,96,100,96.04166667,100,99.6474359,91,100,95.96698718,2,,,13,1,1,1,1,1,0,1,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,0
section 002,c,76.92307692,100,92.85714286,100,68,66,100,88.46153846,89.74764151,82.38192645,100,88,91,41,105.1282051,100,93.33333333,100,33.5,83.75,22,98,100,92.56410256,100,93.91178266,85.66666667,93.9,90.74768315,1,1,1,10,1,1,1,1,1,2.5,1,1,1,1,1,1,1,1,16,1,1,1,1,1,,1,1,0
section 002,d,92.30769231,100,91.42857143,96.66666667,82,80,100,94.48717949,91.81132075,88.30210104,68.75,86,89,39,100,92,106.6666667,100,35.5,88.75,19,84,95,91.09775641,97.33333333,93.39285714,85,93.5,89.97913004,4,,,12,1,1,1,1,1,3,1,1,1,1,,1,1,1,11,,1,1,1,1,1,1,1,1
section 002,e,76.92307692,100,21.42857143,90,48,46,85,83.46153846,31.91273585,41.43526203,68.75,56,59,31,79.48717949,90,0,0,0,0,14,0,70,58.91826923,63.33333333,33.63858364,35.66666667,30.8,37.36752747,9,,,10,,1,1,1,1,27.5,1,1,1,1,1,1,,1,11,1,1,1,,,,,,6
section 002,a,84.61538462,95,88.57142857,100,80,78,100,92.30769231,82.37735849,84.86979059,87.5,76,79,41,105.1282051,100,93.33333333,100,32.5,81.25,20,80,100,91.36217949,98.33333333,91.6498779,79.66666667,88.1,86.6017674,3,1,1,11,1,1,1,1,1,4,,1,1,,1,1,1,1,14,1,,1,1,1,1,1,1,0
section 002,b,92.30769231,100,90,96.66666667,66,64,100,94.48717949,95.12735849,81.92807813,81.25,68,71,35.5,91.02564103,100,73.33333333,100,20.5,51.25,23,58,100,85.88942308,100,77.42521368,65,99.6,77.36147436,0,1,1,12,1,1,1,1,1,3.5,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,0
section 002,c,69.23076923,100,84.28571429,100,60,58,100,84.61538462,80.06367925,74.59306837,81.25,64,67,42,107.6923077,97,106.6666667,100,34,85,21,80,100,89.28685897,99,92.32600733,69,89.5,82.61553114,2,1,1,9,1,1,,1,1,5.5,1,1,1,1,1,1,1,1,13,1,1,1,,1,1,1,1,0
section 002,d,76.92307692,100,75.71428571,93.33333333,60,58,100,85.12820513,43.41745283,66.30858862,100,54,57,33.5,85.8974359,100,73.33333333,100,19.5,48.75,23,62,100,85.8974359,100,70.12057387,59.66666667,91,71.52825092,0,1,1,10,1,1,1,1,1,8.5,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,0
section 002,e,92.30769231,100,90,100,94,92,100,96.15384615,61.63679245,88.23782656,93.75,80,83,42.5,108.974359,100,106.6666667,100,33,82.5,23,92,100,98.18108974,100,93.82478632,89.66666667,98.3,93.42833333,0,1,1,12,1,1,1,1,1,3.5,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,0
section 002,a,100,100,95.71428571,96.66666667,78,76,100,98.33333333,81.93867925,86.94318284,87.5,92,95,42,107.6923077,100,100,98,35,87.5,22,92,100,96.04166667,99.33333333,96.96886447,88.33333333,93.2,92.98305861,1,1,1,13,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,14,1,1,1,1,,1,1,1,0
section 002,b,100,100,94.28571429,96.66666667,90,88,100,98.33333333,96.36792453,93.43614106,93.75,88,91,42.5,108.974359,100,106.6666667,100,37,92.5,23,96,100,99.27083333,100,98.58669109,92.33333333,100,96.40860806,0,1,1,13,1,1,1,1,1,2,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,0
section 002,c,84.61538462,0,67.14285714,100,46,44,100,92.30769231,34.93396226,55.18185258,0,72,75,20,51.28205128,,86.66666667,100,22,55,16,74,80,67.82051282,50,57.80830281,65,39.7,59.05738095,7,1,1,11,1,1,1,1,1,11.5,1,,1,,1,,1,,,,,1,1,1,1,,1,4
section 002,d,100,100,97.14285714,100,92,90,100,100,95.46462264,95.17683625,93.75,76,79,42,107.6923077,100,106.6666667,100,35,87.5,23,88,100,100.1041667,100,97.44505495,86.33333333,98.7,93.5035348,0,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,0
section 002,e,84.61538462,100,78.57142857,100,66,64,100,92.30769231,82.78773585,76.13134719,81.25,60,63,42,107.6923077,100,100,100,34.5,86.25,23,62,100,91.46634615,100,90.83791209,63.66666667,95.2,81.04048535,0,1,1,11,1,1,1,1,1,7.5,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,0
